Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | HC 86371  | CEZAR PELUSO | N | 0.364923
 2    | ADI 3049  | CEZAR PELUSO | N | 0.069981
 3    | HC 85601  | CEZAR PELUSO | N | 0.069978
 4    | HC 90684  | CEZAR PELUSO | N | 0.069972
 5    | ADI 3625  | CEZAR PELUSO | N | 0.069969
 6    | INQ 2555  | CEZAR PELUSO | N | 0.034994
 7    | HC 87107  | CEZAR PELUSO | N | 0.034994
 8    | INQ 2455  | CEZAR PELUSO | N | 0.034994
 9    | INQ 2462  | CEZAR PELUSO | N | 0.034994
 10   | HC 82848  | CEZAR PELUSO | N | 0.034994
 11   | HC 85185  | CEZAR PELUSO | N | 0.002042
 12   | HC 89699  | CEZAR PELUSO | N | 0.000129
 13   | RE 407688 | CEZAR PELUSO | N | 0.000099
 14   | RE 520942 | CEZAR PELUSO | S | 0.000099
 15   | HC 88740  | CEZAR PELUSO | N | 0.000080
 16   | HC 92110  | CEZAR PELUSO | N | 0.000068
 17   | HC 84931  | CEZAR PELUSO | N | 0.000063
 18   | ACO 1058  | CEZAR PELUSO | N | 0.000062
 19   | HC 88978  | CEZAR PELUSO | N | 0.000055
 20   | HC 93753  | CEZAR PELUSO | N | 0.000049
 21   | HC 95069  | CEZAR PELUSO | N | 0.000049
 22   | RHC 89135 | CEZAR PELUSO | N | 0.000049
 23   | HC 87468  | CEZAR PELUSO | N | 0.000047
 24   | HC 86520  | CEZAR PELUSO | N | 0.000047
 25   | HC 87041  | CEZAR PELUSO | N | 0.000047
 26   | HC 87926  | CEZAR PELUSO | N | 0.000043
 27   | HC 88393  | CEZAR PELUSO | N | 0.000043
 28   | RE 454737 | CEZAR PELUSO | N | 0.000043
 29   | HC 86140  | CEZAR PELUSO | N | 0.000043
 30   | HC 84311  | CEZAR PELUSO | N | 0.000042
 31   | RE 466343 | CEZAR PELUSO | N | 0.000037
 32   | HC 84166  | CEZAR PELUSO | N | 0.000037
 33   | HC 91175  | CEZAR PELUSO | N | 0.000037
 34   | HC 83545  | CEZAR PELUSO | N | 0.000037
 35   | HC 91228  | CEZAR PELUSO | N | 0.000037
 36   | HC 88836  | CEZAR PELUSO | N | 0.000037
 37   | ACO 853   | CEZAR PELUSO | N | 0.000037
 38   | RHC 86190 | CEZAR PELUSO | N | 0.000037
 39   | HC 83894  | CEZAR PELUSO | N | 0.000037
 40   | HC 93466  | CEZAR PELUSO | N | 0.000035
 41   | HC 84997  | CEZAR PELUSO | N | 0.000034
