Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | ADI 3831              | CÁRMEN LÚCIA | N | 0.000913
 2    | ED RCL 4536           | CÁRMEN LÚCIA | N | 0.000137
 3    | AGR ARE 798241        | CÁRMEN LÚCIA | N | 0.000137
 4    | AGR RE 599239         | CÁRMEN LÚCIA | N | 0.000137
 5    | AGR RE 461196         | CÁRMEN LÚCIA | N | 0.000137
 6    | HC 113592             | CÁRMEN LÚCIA | N | 0.000137
 7    | ED AI 714957          | CÁRMEN LÚCIA | N | 0.000137
 8    | ED ARE 662114         | CÁRMEN LÚCIA | N | 0.000137
 9    | HC 106446             | CÁRMEN LÚCIA | N | 0.000137
 10   | AGR ARE 693655        | CÁRMEN LÚCIA | N | 0.000137
 11   | AGR AI 688548         | CÁRMEN LÚCIA | N | 0.000137
 12   | AGR RE 800597         | CÁRMEN LÚCIA | N | 0.000137
 13   | AGR RE 855480         | CÁRMEN LÚCIA | N | 0.000137
 14   | RHC 117694            | CÁRMEN LÚCIA | N | 0.000137
 15   | AGR RE 459672         | CÁRMEN LÚCIA | N | 0.000137
 16   | AGR RE 471008         | CÁRMEN LÚCIA | N | 0.000137
 17   | AGR ARE 774265        | CÁRMEN LÚCIA | N | 0.000137
 18   | AGR AI 680396         | CÁRMEN LÚCIA | N | 0.000137
 19   | AGR ARE 789134        | CÁRMEN LÚCIA | N | 0.000137
 20   | AGR RE 600725         | CÁRMEN LÚCIA | N | 0.000137
 21   | AGR AI 673479         | CÁRMEN LÚCIA | N | 0.000137
 22   | AGR ARE 885202        | CÁRMEN LÚCIA | N | 0.000137
 23   | AGR AI 723446         | CÁRMEN LÚCIA | N | 0.000137
 24   | AGR RCL 9450          | CÁRMEN LÚCIA | N | 0.000137
 25   | AGR RCL 11538         | CÁRMEN LÚCIA | N | 0.000137
 26   | AGR ARE 762476        | CÁRMEN LÚCIA | N | 0.000137
 27   | AGR ARE 889802        | CÁRMEN LÚCIA | N | 0.000137
 28   | HC 90914              | CÁRMEN LÚCIA | N | 0.000137
 29   | AGR AI 615968         | CÁRMEN LÚCIA | N | 0.000137
 30   | HC 97237              | CÁRMEN LÚCIA | N | 0.000137
 31   | AGR AI 828072         | CÁRMEN LÚCIA | N | 0.000137
 32   | AGR RE 508995         | CÁRMEN LÚCIA | N | 0.000137
 33   | EI AGR RCL 15155      | CÁRMEN LÚCIA | N | 0.000137
 34   | AGR AI 582542         | CÁRMEN LÚCIA | N | 0.000137
 35   | ED ARE 795931         | CÁRMEN LÚCIA | N | 0.000137
 36   | AGR ARE 752462        | CÁRMEN LÚCIA | N | 0.000137
 37   | RHC 97670             | CÁRMEN LÚCIA | N | 0.000137
 38   | HC 112521             | CÁRMEN LÚCIA | N | 0.000137
 39   | AGR RE 494426         | CÁRMEN LÚCIA | S | 0.000137
 40   | AGR AI 673656         | CÁRMEN LÚCIA | N | 0.000137
 41   | AGR AI 649375         | CÁRMEN LÚCIA | N | 0.000137
 42   | AGR RE 597493         | CÁRMEN LÚCIA | N | 0.000137
 43   | AGR AI 472831         | CÁRMEN LÚCIA | N | 0.000137
 44   | AGR AI 699938         | CÁRMEN LÚCIA | N | 0.000137
 45   | AGR HC 126924         | CÁRMEN LÚCIA | N | 0.000137
 46   | AR 1536               | CÁRMEN LÚCIA | N | 0.000137
 47   | AGR ARE 680462        | CÁRMEN LÚCIA | N | 0.000137
 48   | AGR ARE 680460        | CÁRMEN LÚCIA | N | 0.000137
 49   | ED AI 724029          | CÁRMEN LÚCIA | N | 0.000137
 50   | QO RMS 32004          | CÁRMEN LÚCIA | N | 0.000137
 51   | AGR RE 596543         | CÁRMEN LÚCIA | N | 0.000137
 52   | AGR RE 597148         | CÁRMEN LÚCIA | N | 0.000137
 53   | HC 107156             | CÁRMEN LÚCIA | N | 0.000137
 54   | AGR ARE 776742        | CÁRMEN LÚCIA | N | 0.000137
