Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | HC 83894         | CEZAR PELUSO | N | 0.001654
 2    | PET 3943         | CEZAR PELUSO | N | 0.000717
 3    | PET 3297         | CEZAR PELUSO | N | 0.000717
 4    | HC 88190         | CEZAR PELUSO | N | 0.000717
 5    | AGR AI 420114    | CEZAR PELUSO | N | 0.000249
 6    | AGR RE 426039    | CEZAR PELUSO | N | 0.000249
 7    | AGR RE 445273    | CEZAR PELUSO | N | 0.000249
 8    | AGR AI 492792    | CEZAR PELUSO | S | 0.000249
 9    | AGR AI 417691    | CEZAR PELUSO | N | 0.000249
 10   | AGR RE 413810    | CEZAR PELUSO | N | 0.000249
 11   | AGR AI 443195    | CEZAR PELUSO | N | 0.000249
 12   | AGR AI 548327    | CEZAR PELUSO | N | 0.000249
 13   | AGR RE 353101    | CEZAR PELUSO | S | 0.000249
 14   | AGR AI 499450    | CEZAR PELUSO | S | 0.000249
 15   | AGR RE 283831    | CEZAR PELUSO | S | 0.000249
 16   | AGR RE 535675    | CEZAR PELUSO | N | 0.000249
 17   | AGR RE 421867    | CEZAR PELUSO | S | 0.000249
 18   | AGR AI 406075    | CEZAR PELUSO | N | 0.000249
 19   | AGR AI 316234    | CEZAR PELUSO | N | 0.000249
 20   | ED RE 370411     | CEZAR PELUSO | N | 0.000249
 21   | AGR AI 461287    | CEZAR PELUSO | S | 0.000249
 22   | HC 84097         | CEZAR PELUSO | N | 0.000249
 23   | ED AGR AI 289327 | CEZAR PELUSO | N | 0.000249
 24   | AGR AI 501039    | CEZAR PELUSO | S | 0.000249
 25   | AGR RE 310149    | CEZAR PELUSO | S | 0.000249
 26   | RE 212596        | CEZAR PELUSO | N | 0.000249
 27   | HC 90298         | CEZAR PELUSO | N | 0.000249
 28   | HC 87711         | CEZAR PELUSO | N | 0.000249
 29   | HC 93105         | CEZAR PELUSO | N | 0.000249
 30   | AGR AI 559174    | CEZAR PELUSO | N | 0.000249
 31   | AGR RE 491723    | CEZAR PELUSO | N | 0.000249
 32   | AGR RE 347107    | CEZAR PELUSO | N | 0.000249
 33   | AGR AI 504001    | CEZAR PELUSO | S | 0.000249
 34   | AGR AI 179215    | CEZAR PELUSO | N | 0.000249
 35   | ED AGR RE 426058 | CEZAR PELUSO | N | 0.000249
 36   | AGR RE 319434    | CEZAR PELUSO | S | 0.000249
 37   | RHC 95768        | CEZAR PELUSO | N | 0.000249
 38   | AGR RE 263534    | CEZAR PELUSO | N | 0.000249
 39   | AGR RCL 3626     | CEZAR PELUSO | N | 0.000249
 40   | AGR RE 361736    | CEZAR PELUSO | N | 0.000249
 41   | ED RE 411160     | CEZAR PELUSO | N | 0.000249
 42   | AGR AI 465721    | CEZAR PELUSO | S | 0.000249
 43   | AGR RCL 2408     | CEZAR PELUSO | N | 0.000249
 44   | AGR AI 465722    | CEZAR PELUSO | N | 0.000249
 45   | AGR RE 557695    | CEZAR PELUSO | N | 0.000249
 46   | AGR AI 487723    | CEZAR PELUSO | N | 0.000249
 47   | AGR RE 330320    | CEZAR PELUSO | S | 0.000249
 48   | AGR AI 590009    | CEZAR PELUSO | N | 0.000249
 49   | RHC 87699        | CEZAR PELUSO | N | 0.000249
 50   | RE 550869        | CEZAR PELUSO | N | 0.000249
 51   | AGR RE 312320    | CEZAR PELUSO | S | 0.000249
 52   | AGR AI 713637    | CEZAR PELUSO | N | 0.000249
 53   | AGR HC 92664     | CEZAR PELUSO | N | 0.000249
 54   | AGR RE 338666    | CEZAR PELUSO | N | 0.000249
 55   | AGR AI 237109    | CEZAR PELUSO | S | 0.000249
 56   | AGR RE 467854    | CEZAR PELUSO | N | 0.000249
 57   | AGR AI 395508    | CEZAR PELUSO | N | 0.000249
 58   | AGR RE 542537    | CEZAR PELUSO | N | 0.000249
 59   | AGR AI 439031    | CEZAR PELUSO | N | 0.000249
 60   | AGR RE 485188    | CEZAR PELUSO | N | 0.000249
 61   | AGR RE 423824    | CEZAR PELUSO | S | 0.000249
 62   | AGR RCL 8454     | CEZAR PELUSO | N | 0.000249
 63   | AGR RE 423821    | CEZAR PELUSO | S | 0.000249
 64   | AGR AI 455711    | CEZAR PELUSO | S | 0.000249
 65   | AGR AI 460888    | CEZAR PELUSO | S | 0.000249
 66   | RHC 91552        | CEZAR PELUSO | N | 0.000249
 67   | HC 97128         | CEZAR PELUSO | N | 0.000249
 68   | AGR AI 504135    | CEZAR PELUSO | S | 0.000249
 69   | AGR AI 552534    | CEZAR PELUSO | N | 0.000249
 70   | AGR RE 455832    | CEZAR PELUSO | N | 0.000249
 71   | AGR RE 571350    | CEZAR PELUSO | N | 0.000249
 72   | AGR AI 274958    | CEZAR PELUSO | N | 0.000249
 73   | AGR RE 351295    | CEZAR PELUSO | S | 0.000249
 74   | AGR RE 549189    | CEZAR PELUSO | N | 0.000249
 75   | AGR RE 442725    | CEZAR PELUSO | N | 0.000249
 76   | ED AI 529615     | CEZAR PELUSO | N | 0.000249
 77   | AGR PET 3090     | CEZAR PELUSO | N | 0.000249
 78   | AGR RE 558990    | CEZAR PELUSO | N | 0.000249
 79   | RE 470244        | CEZAR PELUSO | N | 0.000249
 80   | ED AGR AI 691424 | CEZAR PELUSO | N | 0.000249
 81   | AGR AI 461932    | CEZAR PELUSO | N | 0.000249
 82   | AGR MC RCL 4414  | CEZAR PELUSO | N | 0.000249
 83   | AGR RE 422716    | CEZAR PELUSO | S | 0.000249
 84   | HC 95740         | CEZAR PELUSO | N | 0.000249
 85   | AGR RE 386816    | CEZAR PELUSO | N | 0.000249
 86   | AGR RE 362827    | CEZAR PELUSO | N | 0.000249
 87   | AGR AI 572364    | CEZAR PELUSO | N | 0.000249
 88   | AGR AI 524421    | CEZAR PELUSO | N | 0.000249
 89   | AGR AI 538066    | CEZAR PELUSO | N | 0.000249
 90   | ED RE 282726     | CEZAR PELUSO | N | 0.000249
 91   | AGR AI 506392    | CEZAR PELUSO | S | 0.000249
 92   | AGR RE 564293    | CEZAR PELUSO | N | 0.000249
 93   | ED AGR AI 523308 | CEZAR PELUSO | N | 0.000249
 94   | ED AGR AI 490785 | CEZAR PELUSO | N | 0.000249
 95   | AGR RE 424937    | CEZAR PELUSO | S | 0.000249
 96   | AGR AI 427647    | CEZAR PELUSO | N | 0.000249
 97   | RE 521017        | CEZAR PELUSO | N | 0.000249
 98   | AGR RE 436308    | CEZAR PELUSO | N | 0.000249
 99   | HC 94839         | CEZAR PELUSO | N | 0.000249
 100  | AGR AI 484636    | CEZAR PELUSO | S | 0.000249


Iteração 2
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 RE 212596     | CEZAR PELUSO | N
 HC 90298      | CEZAR PELUSO | N
 AGR AI 559174 | CEZAR PELUSO | N
 AGR AI 179215 | CEZAR PELUSO | N
 AGR RE 263534 | CEZAR PELUSO | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | HC 83894         | CEZAR PELUSO | N | 0.001886
 2    | PET 3943         | CEZAR PELUSO | N | 0.000818
 3    | PET 3297         | CEZAR PELUSO | N | 0.000818
 4    | HC 88190         | CEZAR PELUSO | N | 0.000818
 5    | AGR AI 420114    | CEZAR PELUSO | N | 0.000284
 6    | AGR RE 426039    | CEZAR PELUSO | N | 0.000284
 7    | AGR RE 445273    | CEZAR PELUSO | N | 0.000284
 8    | AGR AI 492792    | CEZAR PELUSO | S | 0.000284
 9    | AGR AI 417691    | CEZAR PELUSO | N | 0.000284
 10   | AGR RE 413810    | CEZAR PELUSO | N | 0.000284
 11   | AGR AI 443195    | CEZAR PELUSO | N | 0.000284
 12   | AGR AI 548327    | CEZAR PELUSO | N | 0.000284
 13   | AGR RE 353101    | CEZAR PELUSO | S | 0.000284
 14   | HC 97128         | CEZAR PELUSO | N | 0.000284
 15   | AGR RE 283831    | CEZAR PELUSO | S | 0.000284
 16   | AGR RE 535675    | CEZAR PELUSO | N | 0.000284
 17   | AGR RE 421867    | CEZAR PELUSO | S | 0.000284
 18   | AGR AI 406075    | CEZAR PELUSO | N | 0.000284
 19   | AGR AI 316234    | CEZAR PELUSO | N | 0.000284
 20   | ED RE 370411     | CEZAR PELUSO | N | 0.000284
 21   | AGR AI 461287    | CEZAR PELUSO | S | 0.000284
 22   | HC 84097         | CEZAR PELUSO | N | 0.000284
