Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | MI 529                | CARLOS VELLOSO  | S | 0.493348
 2    | ADI 3013              | ELLEN GRACIE    | S | 0.328908
 3    | ADI 2031              | ELLEN GRACIE    | N | 0.000312
 4    | ADI 872               | ELLEN GRACIE    | N | 0.000113
 5    | RE 275159             | ELLEN GRACIE    | N | 0.000113
 6    | ADI 703               | ELLEN GRACIE    | N | 0.000113
 7    | RE 336680             | ELLEN GRACIE    | N | 0.000085
 8    | ADI 2474              | ELLEN GRACIE    | N | 0.000057
 9    | RHC 80757             | ELLEN GRACIE    | N | 0.000057
 10   | HC 82588              | ELLEN GRACIE    | N | 0.000057
 11   | HC 81214              | ELLEN GRACIE    | N | 0.000057
 12   | ADI 1541              | ELLEN GRACIE    | N | 0.000057
 13   | ADI 3105              | ELLEN GRACIE    | N | 0.000057
 14   | ADI 3128              | ELLEN GRACIE    | N | 0.000057
 15   | ADI 953               | ELLEN GRACIE    | N | 0.000057
 16   | AR 1713               | ELLEN GRACIE    | N | 0.000057
 17   | ADI 329               | ELLEN GRACIE    | N | 0.000057
 18   | HC 79989              | ELLEN GRACIE    | N | 0.000057
 19   | RE 224283             | ELLEN GRACIE    | N | 0.000057
 20   | RE 226472             | ELLEN GRACIE    | N | 0.000057
 21   | RE 199198             | ELLEN GRACIE    | N | 0.000057
 22   | RMS 23692             | ELLEN GRACIE    | N | 0.000057
 23   | INQ 1739              | ELLEN GRACIE    | N | 0.000057
 24   | ADI 743               | ELLEN GRACIE    | N | 0.000057
 25   | ADI 2564              | ELLEN GRACIE    | N | 0.000057
 26   | MS 23754              | ELLEN GRACIE    | N | 0.000057
 27   | ADI 2713              | ELLEN GRACIE    | N | 0.000057
 28   | HC 82337              | ELLEN GRACIE    | N | 0.000057
 29   | ADI 2103              | ELLEN GRACIE    | N | 0.000057
 30   | HC 82149              | ELLEN GRACIE    | N | 0.000057
 31   | HC 81054              | ELLEN GRACIE    | N | 0.000057
 32   | RMS 23787             | ELLEN GRACIE    | N | 0.000057
 33   | ADI 2666              | ELLEN GRACIE    | N | 0.000057
 34   | MS 23399              | ELLEN GRACIE    | N | 0.000057
 35   | HC 83455              | ELLEN GRACIE    | N | 0.000028
 36   | HC 83456              | ELLEN GRACIE    | N | 0.000028
 37   | ED AGR AI 505776      | ELLEN GRACIE    | N | 0.000028
 38   | AGR AI 394926         | ELLEN GRACIE    | S | 0.000028
 39   | AGR RE 285400         | ELLEN GRACIE    | S | 0.000028
 40   | SEGUNDOS ED AI 823070 | ELLEN GRACIE    | N | 0.000028
 41   | AGR AI 301923         | ILMAR GALVÃO    | S | 0.000028
 42   | RHC 105243            | ELLEN GRACIE    | N | 0.000028
 43   | AGR AI 539131         | ELLEN GRACIE    | N | 0.000028
 44   | AGR RE 350927         | ELLEN GRACIE    | S | 0.000028
 45   | AGR AI 631782         | ELLEN GRACIE    | N | 0.000028
 46   | AGR SS 2287           | ELLEN GRACIE    | N | 0.000028
 47   | AGR AI 333177         | MAURÍCIO CORRÊA | S | 0.000028
 48   | AGR AI 673472         | ELLEN GRACIE    | S | 0.000028
 49   | RHC 88291             | ELLEN GRACIE    | N | 0.000028
 50   | AGR AI 323945         | NELSON JOBIM    | S | 0.000028
 51   | ED AGR RE 449588      | ELLEN GRACIE    | N | 0.000028
 52   | ED AGR AI 594104      | ELLEN GRACIE    | N | 0.000028
 53   | AGR RE 353745         | ELLEN GRACIE    | N | 0.000028
 54   | AGR RE 575894         | ELLEN GRACIE    | N | 0.000028
